;;T(entropy,4,0.01,0.3);
5;Salinas-A,(1,false,"o_None","TestOpGeq");(99.0, 100.0, 100.0, 100.0, 99.17, 00:00:05);
6;Salinas-A,(1,false,"o_None","TestOpGeq");(96.0, 100.0, 97.0, 86.96, 96.67, 00:00:05);
7;Salinas-A,(1,false,"o_None","TestOpGeq");(98.0, 100.0, 100.0, 100.0, 98.33, 00:00:05);
8;Salinas-A,(1,false,"o_None","TestOpGeq");(98.0, 95.0, 99.0, 95.0, 98.33, 00:00:05);
9;Salinas-A,(1,false,"o_None","TestOpGeq");(97.0, 100.0, 100.0, 100.0, 97.5, 00:00:05);
10;Salinas-A,(1,false,"o_None","TestOpGeq");(97.0, 95.0, 99.0, 95.0, 97.5, 00:00:05);
1;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(71.0, 70.0, 96.0, 77.78, 75.83, 00:01:39);
2;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(65.0, 70.0, 95.0, 73.68, 70.83, 00:01:40);
3;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(70.0, 75.0, 97.0, 83.33, 75.0, 00:01:39);
4;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(53.0, 50.0, 95.0, 66.67, 60.83, 00:01:39);
5;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(61.0, 70.0, 91.0, 60.87, 67.5, 00:01:38);
6;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(64.0, 65.0, 98.0, 86.67, 70.0, 00:01:35);
7;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(63.0, 65.0, 94.0, 68.42, 69.17, 00:01:37);
8;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(61.0, 55.0, 96.0, 73.33, 67.5, 00:01:37);
9;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(57.0, 40.0, 93.0, 53.33, 64.17, 00:01:37);
10;Salinas-A,(3,:flattened,"o_None","TestOpGeq");(68.0, 85.0, 95.0, 77.27, 73.33, 00:01:36);
1;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(95.0, 100.0, 100.0, 100.0, 95.83, 00:00:08);
2;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(99.0, 100.0, 100.0, 100.0, 99.17, 00:00:08);
3;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(97.0, 100.0, 99.0, 95.24, 97.5, 00:00:08);
4;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(98.0, 100.0, 99.0, 95.24, 98.33, 00:00:08);
5;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(96.0, 100.0, 99.0, 95.24, 96.67, 00:00:08);
6;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(95.0, 100.0, 100.0, 100.0, 95.83, 00:00:08);
7;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(96.0, 100.0, 100.0, 100.0, 96.67, 00:00:08);
8;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(96.0, 100.0, 98.0, 90.91, 96.67, 00:00:08);
